#x y
1 0.785398
2 0.521598
3 0.348439
4 0.233349
5 0.155299
6 0.103407
7 0.0688699
8 0.0458727
9 0.0305562
10 0.0203733
11 0.0135841
12 0.00905743
13 0.00603934
14 0.0040261
15 0.0026841
16 0.00178974
17 0.0011935
18 0.000796001
19 0.000531002
20 0.000354336
21 0.000236557
22 0.000158037
23 0.00010569
24 7.07909e-05
25 4.75242e-05
26 3.20115e-05
27 2.16675e-05
28 1.47683e-05
29 1.01643e-05
30 7.08872e-06
31 5.02989e-06
32 3.64659e-06
33 2.71101e-06
34 2.07203e-06
35 1.62931e-06
36 1.31707e-06
37 1.09216e-06
38 9.26379e-07
39 8.01291e-07
40 7.04748e-07
